Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
WIREGRASS MEDICAL CENTER,GENEVA,AL,(334) 684-3655,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,(256) 329-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
MEDICAL CENTER BARBOUR,EUFAULA,AL,(334) 688-7271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Below the national average,Below the national average,Below the national average
CLAY COUNTY HOSPITAL,ASHLAND,AL,(256) 354-2131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,(256) 235-5121,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
ATHENS LIMESTONE HOSPITAL,ATHENS,AL,(256) 233-9292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,(251) 949-3400,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,(256) 341-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
NORTHWEST MEDICAL CENTER,WINFIELD,AL,(205) 487-7736,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,(251) 471-7110,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,(205) 387-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
PROVIDENCE HOSPITAL,MOBILE,AL,(251) 633-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,AL,(251) 275-3191,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Not Available,Same as the national average,Below the national average,Below the national average
D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,(205) 759-7111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
HALE COUNTY HOSPITAL,GREENSBORO,AL,(334) 624-3024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL,(334) 567-4311,Acute Care Hospitals,Government - State,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,(251) 867-8061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
THOMAS HOSPITAL,FAIRHOPE,AL,(251) 928-2375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,(256) 761-4542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
J PAUL JONES HOSPITAL,CAMDEN,AL,(334) 682-4131,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,(205) 783-3800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,(205) 971-1000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,(334) 361-4267,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,(205) 367-8111,Acute Care Hospitals,Government - Local,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average
BULLOCK COUNTY HOSPITAL,UNION SPRINGS,AL,(334) 738-2140,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WHITFIELD REGIONAL HOSPITAL,DEMOPOLIS,AL,(334) 289-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,(251) 435-4700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,(205) 481-7000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,(334) 418-4100,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
MONROE COUNTY HOSPITAL,MONROEVILLE,AL,(251) 575-3111,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,(205) 485-7117,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Above the national average,Not Available,Above the national average,Above the national average,Same as the national average
TROY REGIONAL MEDICAL CENTER,TROY,AL,(334) 670-5000,Acute Care Hospitals,Government - Federal,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
JACKSON MEDICAL CENTER,JACKSON,AL,(251) 246-9021,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Same as the national average
NORTH BALDWIN INFIRMARY,BAY MINETTE,AL,(251) 937-5521,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
ST VINCENT'S ST CLAIR,PELL CITY,AL,(205) 338-3301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,(256) 882-3100,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BROOKWOOD BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,(205) 877-1000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
SPRINGHILL MEDICAL CENTER,MOBILE,AL,(251) 344-9630,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
EVERGREEN MEDICAL CENTER,EVERGREEN,AL,(251) 578-2480,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,(334) 244-8330,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,GREENVILLE,AL,(334) 382-2200,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average
SHOALS HOSPITAL,MUSCLE SHOALS,AL,(256) 386-1601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Above the national average,Below the national average
RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,(256) 332-1611,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,(256) 249-5000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,(334) 732-3000,Acute Care Hospitals,Government - State,Yes,5,Not Available,Above the national average,Above the national average,Above the national average,Below the national average
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,(251) 368-2500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average
ST VINCENT'S CHILTON,CLANTON,AL,(205) 258-4400,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Below the national average
WASHINGTON COUNTY HOSPITAL,CHATOM,AL,(251) 847-2223,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RED BAY HOSPITAL,RED BAY,AL,(256) 356-9532,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHOCTAW GENERAL HOSPITAL,BUTLER,AL,(205) 459-9100,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST VINCENTS BLOUNT,ONEONTA,AL,(205) 274-3000,Critical Access Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average
TANNER MEDICAL CENTER-EAST ALABAMA,WEDOWEE,AL,(256) 357-2111,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
THE CHILDREN'S HOSPITAL OF ALABAMA,BIRMINGHAM,AL,(205) 939-9100,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,MOBILE,AL,(251) 415-1000,Childrens,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HILL CREST BEHAVIORAL HEALTH SERVICES,BIRMINGHAM,AL,(205) 833-9000,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MOUNTAIN VIEW HOSPITAL,GADSDEN,AL,(256) 546-9265,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BRYCE HOSPITAL,TUSCALOOSA,AL,(205) 759-0750,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MARY S HARPER GERIATRIC PSYCHIATRY CENTER,TUSCALOOSA,AL,(205) 759-0900,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BAYPOINTE BEHAVIORAL HEALTH,MOBILE,AL,(251) 662-7998,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BEACON CHILDREN'S HOSPITAL,LUVERNE,AL,(334) 335-5040,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"SANCTUARY AT THE WOODLANDS, THE",CULLMAN,AL,(256) 739-1239,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
EASTPOINTE HOSPITAL,DAPHNE,AL,(251) 378-6500,Psychiatric,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNITY PSYCHIATRIC CARE - HUNTSVILLE,HUNTSVILLE,AL,(256) 964-6700,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,(907) 562-2211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average
MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,(907) 861-6000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,(907) 796-8900,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,(907) 452-8181,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,(907) 276-1131,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,(907) 543-6300,Acute Care Hospitals,Tribal,Yes,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,(907) 262-4404,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,(907) 729-3971,Acute Care Hospitals,Government - Federal,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,(907) 384-1110,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Bassett ACH (FT Wainwright),Fort Wainwright,AK,(907) 361-4000,Acute Care - Department of Defense,Department of Defense,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,AK,(907) 835-2249,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,(907) 224-5205,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PETERSBURG MEDICAL CENTER,PETERSBURG,AK,(907) 772-4291,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SEARHC WRANGELL MEDICAL CENTER-CAH,WRANGELL,AK,(907) 874-7000,Critical Access Hospitals,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,(907) 486-9592,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,AK,(907) 424-8000,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,(907) 443-3311,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
BRISTOL BAY AREA HEALTH CORPORATION,DILLINGHAM,AK,(907) 842-5201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MANIILAQ HEALTH CENTER,KOTZEBUE,AK,(907) 442-3321,Critical Access Hospitals,Tribal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,(907) 225-5171,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,AK,(907) 852-4611,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
SOUTH PENINSULA HOSPITAL,HOMER,AK,(907) 235-8101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
MT EDGECUMBE HOSPITAL,SITKA,AK,(907) 966-2411,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTH STAR HOSPITAL,ANCHORAGE,AK,(907) 264-3526,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ALASKA PSYCHIATRIC INSTITUTE,ANCHORAGE,AK,(907) 269-7100,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,(602) 239-2000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
TUCSON MEDICAL CENTER,TUCSON,AZ,(520) 327-5461,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,(928) 773-2357,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
ST. MARY'S HOSPITAL,TUCSON,AZ,(520) 872-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ST JOSEPH'S HOSPITAL,TUCSON,AZ,(520) 873-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,(928) 445-2700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,(928) 336-7600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,PHOENIX,AZ,(602) 331-5862,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,(520) 381-6300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,(602) 344-5011,Acute Care Hospitals,Government - Local,Yes,3,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average
FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,(928) 779-3366,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,(602) 406-5001,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,(602) 249-0212,Acute Care Hospitals,Physician,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,(480) 728-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average
ST LUKE'S MEDICAL CENTER,PHOENIX,AZ,(602) 251-8156,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,(480) 882-4004,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,(520) 263-3001,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average
KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,AZ,(928) 757-2101,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
